artifact_type,target_snr_db,method,n_pairs,mean_snr_db,std_snr_db,mean_snr_gain_db,std_snr_gain_db,mean_rmse,std_rmse,mean_rrmse,std_rrmse
blink,-5.0,hybrid_wavelet_dae,90,1.4869865951276933,0.9762040637045118,6.486986595127692,0.9762040637045118,178.87867985885003,56.0822911516998,0.8479814484001214,0.09674211021120901
blink,-5.0,noisy_input,90,-5.0,7.820414258133645e-16,0.0,0.0,376.51662896252407,110.8270858435449,1.7782794100389228,2.257559138553924e-16
blink,-5.0,wavelet_only,90,-5.126990044697634,0.03523674397746968,-0.12699004469763406,0.035236743977469544,381.98252726243976,112.18989046525562,1.8044840018315966,0.007319880289436718
blink,0.0,hybrid_wavelet_dae,90,3.8861802785772968,0.8214180698339116,3.886180278577297,0.8214180698339116,135.52936988117523,41.73878923442287,0.6421351908691252,0.06153604827779495
blink,0.0,noisy_input,90,-5.357374814185007e-18,7.901115179959406e-16,0.0,0.0,211.7308600869888,62.32265032024362,1.0,1.278368998619181e-16
blink,0.0,wavelet_only,90,-0.42948000086585336,0.09105590936109534,-0.4294800008658535,0.09105590936109531,222.33456089665358,65.07085749286404,1.0507456445835253,0.011015021713461238
blink,5.0,hybrid_wavelet_dae,90,5.4145524260261935,0.6742386270633176,0.4145524260261932,0.6742386270633175,113.37885614143464,33.77465750170757,0.5377511913542987,0.04252798235297735
blink,5.0,noisy_input,90,5.0,7.648516030304692e-16,0.0,0.0,119.06501244500964,35.04660177046053,0.5623413251903491,7.535414644595129e-17
blink,5.0,wavelet_only,90,3.739181148372299,0.23688469788248073,-1.260818851627701,0.23688469788248082,137.456026831154,39.8920222018631,0.6504298938283735,0.01771229621909968
mixed,-5.0,hybrid_wavelet_dae,90,1.710721497185297,0.9551884111035253,6.710721497185295,0.9551884111035253,174.5339313286239,54.593492634792234,0.8259647458147558,0.08604989469412262
mixed,-5.0,noisy_input,90,-5.0,8.679899092238628e-16,0.0,0.0,376.51662896252407,110.8270858435449,1.7782794100389228,2.1183012943864464e-16
mixed,-5.0,wavelet_only,90,-0.6436640958383498,1.690228080676889,4.35633590416165,1.690228080676889,235.57759813140652,90.39633765507311,1.0972021024892553,0.21375789686297056
mixed,0.0,hybrid_wavelet_dae,90,3.380458927884417,0.8785064929529137,3.380458927884417,0.8785064929529137,143.22775773505995,42.47973130574351,0.680947572997336,0.06622104271745982
mixed,0.0,noisy_input,90,1.6072124442554781e-16,6.780408688169634e-16,0.0,0.0,211.73086008698874,62.322650320243625,1.0,1.0591506471932232e-16
mixed,0.0,wavelet_only,90,2.3662871845438804,0.7918958337640001,2.3662871845438804,0.7918958337640002,162.66609980869288,52.23354421205892,0.7646422992062593,0.06912297549525187
mixed,5.0,hybrid_wavelet_dae,90,4.878036388283532,0.7276478841751669,-0.121963611716468,0.7276478841751669,120.20998642020842,34.560419783718366,0.5722625511083976,0.047542745985699214
mixed,5.0,noisy_input,90,5.0,7.531737935596255e-16,0.0,0.0,119.06501244500964,35.04660177046053,0.5623413251903491,6.862062747975501e-17
mixed,5.0,wavelet_only,90,4.937556918041155,0.5522272133914604,-0.06244308195884526,0.5522272133914605,119.90867715795355,35.704082175599964,0.5675292581169473,0.035981884381888166
muscle,-5.0,hybrid_wavelet_dae,90,1.739183586854959,0.9358638914822273,6.739183586854958,0.9358638914822273,173.93575793549084,54.28018857068325,0.8230653605014157,0.08378251117819252
muscle,-5.0,noisy_input,90,-5.0,8.098807443515391e-16,0.0,0.0,376.51662896252407,110.8270858435449,1.7782794100389228,1.9832359968015048e-16
muscle,-5.0,wavelet_only,90,-0.4684734842673708,1.7177885802440989,4.53152651573263,1.7177885802440989,231.16063939767253,90.20819140236968,1.0761613502920508,0.2163034943106038
muscle,0.0,hybrid_wavelet_dae,90,3.3819552511919198,0.8800582204268903,3.3819552511919198,0.8800582204268904,143.22546793009843,42.484026470921876,0.680845556581954,0.06643501730997638
muscle,0.0,noisy_input,90,6.428849777021906e-17,8.02268775224667e-16,0.0,0.0,211.73086008698874,62.322650320243625,1.0,1.3520793877606153e-16
muscle,0.0,wavelet_only,90,2.4601195515328866,0.7995604328364513,2.4601195515328866,0.7995604328364514,160.96118127471365,51.991023079542806,0.7564877537892468,0.06908769018579516
muscle,5.0,hybrid_wavelet_dae,90,4.868721618948931,0.73282595803285,-0.1312783810510691,0.73282595803285,120.36213095402265,34.64426262315464,0.5729044972818713,0.04792343525687008
muscle,5.0,noisy_input,90,5.0,7.988614452570119e-16,0.0,0.0,119.06501244500964,35.04660177046053,0.5623413251903491,7.349326301915608e-17
muscle,5.0,wavelet_only,90,4.974360262982872,0.5479287474963418,-0.025639737017128395,0.5479287474963418,119.41865710919036,35.6610185741381,0.5651125224449768,0.03556623920973595
